artistID,weight
289,2393140
72,1301308
89,1291387
292,1058405
498,963449
67,921198
288,905423
701,688529
227,662116
300,532545
333,525844
344,525292
378,513476
679,506453
295,499318
511,493024
461,489065
486,485532
190,485076
163,466104
55,449292
154,385306
466,384405
257,384307
707,371916
917,368710
792,350035
51,348919
65,330757
475,321011
203,318221
157,296882
207,288520
198,277397
377,265362
291,253027
614,251440
173,245878
503,237148
687,215777
903,213103
302,207761
187,205195
1412,203665
1098,202178
1672,200949
458,200027
229,191979
234,190232
306,188634
56,176043
325,166644
533,165975
294,162288
233,160317
209,159733
230,155321
455,153101
159,151103
228,148452
299,144710
681,139378
704,138049
2044,137581
418,133955
1249,133931
599,133511
1369,131397
349,130855
424,130227
1104,129745
298,129352
1459,126314
318,123682
285,120665
1246,120336
316,117229
220,116768
544,115538
680,114690
959,114505
195,113631
689,113467
310,110218
686,110123
918,102662
412,102334
439,100819
217,100298
2102,99845
706,99820
441,99296
161,97089
2179,96353
7,96201
868,95880
889,94551
331,94501
1048,94398
464,94179
293,93828
1001,91869
429,91740
329,91169
301,91066
816,90365
1541,90154
152,88594
436,88270
982,88086
2548,87617
735,87432
304,86342
1400,86195
523,85160
1047,83954
265,83373
1014,83206
930,83061
1090,82999
225,81822
906,80222
808,80184
188,79847
540,79486
779,78578
1044,78363
518,78342
63,77046
1244,76175
1131,76012
182,75804
499,75634
2020,75372
1934,75169
279,74834
748,74039
1513,73961
543,73597
290,72962
932,71710
504,71488
1180,71434
1470,71250
536,70828
1045,70589
683,70360
923,70314
226,69833
88,69629
487,68917
488,68306
314,67979
352,67822
59,67259
191,67187
3501,66688
525,65902
920,65886
3057,65641
1673,65344
212,65145
1116,64897
456,64596
1904,64256
972,63661
328,63582
2521,63510
512,62933
843,62838
199,62735
841,62107
321,61849
1034,61748
537,61679
813,61163
375,60167
757,59938
615,59821
296,59353
1406,58965
562,58438
528,58312
517,58163
1375,57847
1444,57537
538,57009
907,56599
898,56006
1713,55944
1186,55683
768,55642
324,55463
715,55137
323,54909
155,54825
2094,54663
58,54597
1243,53918
1118,53915
1037,53353
425,53054
1854,52706
1075,52137
2850,51988
1684,51641
802,51602
500,51566
527,50645
542,50241
1464,50132
618,49881
416,49647
961,49603
167,49521
1505,49290
854,49014
548,48631
2531,48397
64,47993
969,47200
172,46606
830,46466
524,46370
493,46295
204,46061
430,45886
6150,45769
1358,45672
1339,45666
709,45355
978,44959
2346,44878
70,44852
468,44673
481,44240
53,44230
2343,44187
646,44182
1188,44151
1109,43972
81,43961
703,43860
470,43710
726,43644
497,43559
1643,43536
370,43458
3280,43440
1191,43303
951,43252
2083,42418
5267,42363
423,42305
238,42195
340,41552
3859,41447
197,41316
966,41094
1114,41028
908,40837
1372,40664
342,40510
1099,40473
815,40428
355,40288
440,40234
222,40203
97,40042
366,39882
1072,39658
622,39491
71,39172
311,39111
30,38949
3200,38781
534,38608
7759,38392
465,38190
196,37812
1377,37800
3616,37663
717,37655
206,37576
428,37532
1613,37521
210,37500
1119,37375
453,37287
718,37211
1043,37136
691,36911
851,36669
403,36370
705,35978
1424,35947
724,35924
506,35700
386,35347
8388,35323
1185,35258
4126,35182
1390,35056
192,34976
1772,34934
913,34746
1110,34641
1195,34637
1853,34500
82,34449
603,34321
1504,34222
221,34165
526,34090
532,34002
1062,33892
857,33757
1803,33624
4566,33603
4821,33559
360,33380
327,33055
2940,33037
8308,32995
2624,32919
1206,32827
547,32234
162,32173
1239,32136
251,32020
1089,31803
1360,31791
1081,31704
2524,31516
1974,31514
3324,31421
952,31404
166,31367
2523,31309
1705,31254
374,31157
1097,31086
383,31078
6410,31073
1179,31048
1378,30983
6373,30614
223,30543
371,30524
790,30446
2840,30349
535,30324
2342,30208
957,30095
432,30083
77,29944
694,29798
1032,29701
821,29399
45,29358
1122,29138
472,29041
1983,28956
407,28823
2210,28672
4262,28262
928,28262
1035,28256
1187,28243
604,28188
1520,28143
986,28125
1632,28106
3489,28064
859,28038
1512,28029
2919,28020
2661,27969
693,27941
1379,27871
962,27818
714,27680
330,27607
697,27597
1451,27570
716,27569
3198,27321
1041,27321
690,27304
489,27179
964,27175
3502,27153
993,27126
710,26972
305,26762
793,26748
965,26643
317,26534
2619,26329
320,26323
545,26168
1181,26071
1396,26048
367,25855
437,25748
2006,25719
4230,25621
812,25567
1868,25524
1414,25453
485,25380
592,25239
942,25213
3081,25153
4675,25037
389,25020
1274,24811
176,24799
501,24781
332,24585
1639,24567
1556,24546
86,24544
250,24482
632,24476
3478,24151
362,24133
922,24109
184,23910
1106,23881
1083,23851
2977,23824
2379,23772
507,23743
267,23652
2608,23611
326,23611
1409,23497
7091,23479
734,23472
18121,23462
2544,23423
641,23397
954,23324
810,23282
2092,23242
1944,23212
1091,23154
733,23102
1976,23022
806,22873
953,22865
1242,22806
1755,22781
2139,22761
1515,22756
444,22661
3248,22603
998,22584
546,22518
846,22441
1602,22365
863,22356
1151,22321
1886,22299
682,22138
433,22039
5749,21986
2277,21972
1964,21943
3046,21772
3693,21504
1601,21462
3768,21369
605,21268
607,21204
1394,21169
208,21160
3393,21116
3227,21097
1428,21092
3411,21065
4177,21052
1042,20997
2834,20962
1866,20893
805,20874
2200,20823
1447,20760
3110,20697
1376,20674
1398,20670
283,20662
3258,20635
601,20415
3109,20402
107,20392
6217,20366
4814,20337
4828,20292
3739,20257
308,20231
1061,20209
2347,20205
153,20203
1858,20123
180,20046
215,19999
1510,19988
5079,19846
1410,19783
3397,19774
1416,19756
490,19736
755,19654
98,19647
728,19637
997,19603
492,19454
1100,19425
1810,19407
69,19391
239,19342
732,19335
915,19328
823,19260
1383,19176
1013,19131
2080,19046
1875,18964
2014,18911
4079,18905
1009,18885
99,18793
52,18787
1873,18727
856,18719
858,18706
5254,18699
2086,18624
674,18586
2786,18578
936,18556
6374,18531
602,18451
479,18450
1415,18449
1411,18426
262,18404
2838,18315
193,18280
1200,18213
1984,18160
84,18136
1975,18045
985,18041
2051,18026
630,17930
2091,17926
789,17921
2026,17896
1145,17862
231,17806
1121,17786
2172,17754
5630,17733
1455,17718
1933,17707
237,17674
1418,17626
2835,17594
171,17561
2924,17523
1130,17492
1203,17475
3201,17408
1633,17353
2446,17265
14185,17231
5048,17228
307,17200
405,17190
